dataHora,ordem,linha,latitude,longitude,velocidade
12-28-2017 10:04:47,D53912,2310,"-22.88345","-43.495571",8
12-28-2017 10:07:10,D87094,366,"-22.899691","-43.554321",0
12-28-2017 10:07:22,C47518,,"-23.021191","-43.48275",0
12-28-2017 10:07:43,B32627,342,"-22.814911","-43.292068",2
12-28-2017 10:08:01,B27013,629,"-22.90583","-43.242031",34
12-28-2017 10:11:12,C12042,,"-22.900339","-43.21051",16
12-28-2017 10:12:21,C27198,SV774,"-22.823601","-43.320068",34
12-28-2017 10:12:26,D17104,849,"-22.8995","-43.554642",0
12-28-2017 10:13:13,D53930,2310,"-22.883631","-43.49498",0
12-28-2017 10:14:53,D87735,2336,"-22.89971","-43.554272",0
12-28-2017 10:15:57,D12162,2382,"-23.011721","-43.457642",26
12-28-2017 10:18:41,D12161,,"-23.005489","-43.43103",48
12-28-2017 10:22:02,C30046,343,"-22.951191","-43.348389",0
12-28-2017 10:26:38,A37569,,"-22.901979","-43.196991",0
12-28-2017 10:27:13,D53926,2310,"-22.88352","-43.496021",0
12-28-2017 10:32:22,C47569,861,"-22.95295","-43.348598",0
12-28-2017 10:32:54,B27181,639,"-22.816891","-43.30217",0
12-28-2017 10:33:10,B51654,624,"-22.876381","-43.3685",16
12-28-2017 10:36:51,B27163,639,"-22.877279","-43.33387",30
12-28-2017 10:42:33,D87177,,"-22.91762","-43.60775",0
12-28-2017 10:44:23,D53603,,"-22.883619","-43.495079",0
12-28-2017 10:48:07,D53924,2310,"-22.883751","-43.495491",0
12-28-2017 10:48:16,C30139,,"-22.946329","-43.36021",0
12-28-2017 10:50:08,A27643,102,"-22.91847","-43.22036",8
12-28-2017 10:50:21,D87831,2336,"-22.899731","-43.554722",0
12-28-2017 10:59:24,D53927,2310,"-22.883961","-43.495491",0
12-28-2017 10:59:51,C20166,390,"-22.957714","-43.346176",0.19
12-28-2017 11:00:54,C20060,380,"-22.957842","-43.346127",0
12-28-2017 11:01:55,D86715,2804,"-22.894377","-43.532143",0
12-28-2017 11:02:19,A27556,,"-22.920759","-43.25642",0
12-28-2017 11:04:52,B58168,,"-22.836901","-43.285759",16
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:07:12,C41081,,"-23.028049","-43.466579",66.86
12-28-2017 11:08:19,A72161,007,"-22.888939","-43.291786",0
12-28-2017 11:08:32,C13051,746,"-22.87969","-43.358009",0
12-28-2017 11:08:49,C41373,,"-22.905556","-43.196991",0
12-28-2017 11:09:37,C47493,554,"-22.984909","-43.46077",34
12-28-2017 11:10:14,D87301,398,"-22.917521","-43.607658",0
12-28-2017 11:11:08,B27039,639,"-22.91448","-43.263359",0
12-28-2017 11:11:27,D13102,SV790,"-22.87561","-43.41898",0
12-28-2017 11:11:31,D13099,936,"-22.88728","-43.55933",0
12-28-2017 11:14:23,C47910,2111,"-22.90534","-43.21471",0
12-28-2017 11:17:12,D53903,2310,"-22.883381","-43.495419",0
12-28-2017 11:17:14,A72067,007,"-22.889824","-43.291794",0.56
12-28-2017 11:17:54,D53718,848,"-22.883801","-43.49477",0
12-28-2017 11:24:11,C20252,380,"-22.958052","-43.346405",2.41
12-28-2017 11:25:49,D86049,884,"-22.894367","-43.531292",0
12-28-2017 11:29:32,A37659,,"-22.90239","-43.19614",0
12-28-2017 11:29:38,A29154,474,"-22.90457","-43.218441",21
12-28-2017 11:29:50,D17021,,"-22.91765","-43.6077",0
12-28-2017 11:30:11,D87535,898,"-22.959841","-43.696831",25
12-28-2017 11:31:56,A29017,133,"-22.929859","-43.202419",21
12-28-2017 11:33:14,C30327,,"-22.95118","-43.347858",0
12-28-2017 11:33:39,D53715,,"-22.88369","-43.494949",0
12-28-2017 11:35:01,D87829,2307,"-22.90723","-43.17226",0
12-28-2017 11:35:03,D13013,,"-22.87571","-43.418919",0
12-28-2017 11:37:11,B11550,773,"-22.836315","-43.38678",19.82
12-28-2017 11:38:10,D53683,,"-22.88357","-43.49527",10
12-28-2017 11:40:19,A29062,476,"-22.901859","-43.27562",0
12-28-2017 11:40:37,C13070,745,"-22.876249","-43.42012",0
12-28-2017 11:41:46,B27050,,"-22.87598","-43.334999",0
12-28-2017 11:42:51,A27539,432,"-22.964439","-43.217709",4
12-28-2017 11:43:18,D53925,2310,"-22.88377","-43.495522",0
12-28-2017 11:43:52,B27156,639,"-22.810801","-43.3298",0
12-28-2017 11:51:27,B58131,312,"-22.837561","-43.28598",13
12-28-2017 11:51:28,A71529,106,"-22.92968","-43.254101",0
12-28-2017 11:52:37,D53748,846,"-22.88365","-43.49498",2
12-28-2017 11:55:10,C47500,,"-22.952551","-43.34882",0
12-28-2017 11:59:26,C47982,2114,"-22.905251","-43.214539",0
12-28-2017 12:00:04,B44542,,"-22.853559","-43.375931",0
12-28-2017 12:07:12,D87199,770,"-22.89958","-43.554642",0
12-28-2017 12:07:50,D17049,869,"-22.900021","-43.554489",0
12-28-2017 12:08:16,D13018,,"-22.876261","-43.42017",0
12-28-2017 12:09:42,B11576,378,"-22.866159","-43.356201",3.7
12-28-2017 12:11:04,C41411,112,"-22.902449","-43.207752",0
12-28-2017 12:11:40,A29063,476,"-22.901951","-43.275299",0
12-28-2017 12:15:08,D53658,,"-22.883329","-43.49511",0
12-28-2017 12:16:01,D17092,,"-22.91658","-43.607288",0
12-28-2017 12:17:36,A72072,422,"-22.889429","-43.293972",17.78
12-28-2017 12:19:29,D13193,745,"-22.875589","-43.419491",0
12-28-2017 12:21:15,A41872,,"-22.999701","-43.353821",41
12-28-2017 12:25:39,B32592,795,"-22.82872","-43.406219",0
12-28-2017 12:26:35,C30069,876,"-22.997931","-43.23978",48
12-28-2017 12:28:54,C30060,,"-22.95286","-43.350029",6
12-28-2017 12:33:49,A27504,548,"-23.00165","-43.364471",1
12-28-2017 12:34:20,C13082,731,"-22.8689","-43.440289",36
12-28-2017 12:34:30,D13334,383,"-22.902941","-43.277012",0
12-28-2017 12:34:45,D12101,,"-23.001551","-43.364429",12
12-28-2017 12:35:41,A55056,436,"-22.906179","-43.26086",0
12-28-2017 12:35:44,B58099,,"-22.83672","-43.286011",22
12-28-2017 12:36:07,C82523,,"-22.923761","-43.374493",0.37
12-28-2017 12:37:06,A29083,461,"-22.984249","-43.202869",24
12-28-2017 12:37:56,C30042,550,"-22.993629","-43.321251",5
12-28-2017 12:39:32,C20232,611,"-22.957361","-43.346504",0
12-28-2017 12:40:21,B58003,312,"-22.83663","-43.2859",0
12-28-2017 12:41:29,B25505,SV606,"-22.895781","-43.294231",14
12-28-2017 12:41:56,D13177,752,"-22.840509","-43.369331",0
12-28-2017 12:42:06,B58088,,"-22.837271","-43.28664",0
